pnn,FS Lin,SS Lin,FL1 Log,FL2 Log,FL3 Log,FL4 Log,FL5 Log,FS,SS,FL1,FL2,FL3,FL4,FL5,TIME
pns,FS Lin,SS Lin,FL1 Log,FL2 Log,FL3 Log,FL4 Log,FL5 Log,,,,,,,,
109,62.0,9.75,0.13655259465352437,0.12148389468675426,0.14283387109577214,0.23636393234036387,0.1024,318240.0,200640.0,140.0,72.0,107.0,147.0,11.0,1.0
110,52.4,7.25,0.788894097419171,0.11719085064164587,0.1024,0.2384994910679599,0.1024,268576.0,149408.0,814.0,145.0,33.0,108.0,0.0,1.0
111,39.6,8.65,3.574939583664581,0.1024,0.3238172324012421,0.15075395223997853,0.1024,203328.0,177184.0,3686.0,383.0,254.0,161.0,77.0,1.0
112,44.6,3.95,0.1024,0.10807803912996895,0.1024,0.23424749571260373,0.1024,228928.0,81728.0,17.0,33.0,50.0,114.0,75.0,1.0
113,27.8,4.9,0.5554883519499598,0.1854011640859773,0.1024,0.37393830630895386,0.1024,142816.0,100864.0,573.0,180.0,52.0,237.0,0.0,1.0
114,38.4,6.75,0.2656821986717712,0.1024,0.15911319872255733,0.1494040796805694,0.1024,197184.0,138528.0,272.0,71.0,103.0,66.0,29.0,1.0
115,36.2,4.4,0.16055079360788177,0.1820958115879857,0.18876651442269293,0.32091772635322535,0.19392942359868295,185600.0,90336.0,165.0,146.0,180.0,260.0,200.0,1.0
116,40.4,3.15,0.1024,0.1024,0.1024,0.268082649250345,0.1024,207488.0,64896.0,75.0,2.0,46.0,145.0,64.0,1.0
117,70.8,5.5,0.24947021805073416,0.1024,0.1634650669350853,0.15627651098408582,0.1024,363008.0,112992.0,255.0,58.0,108.0,76.0,0.0,1.0
118,53.4,7.85,0.3238172324012421,0.11003984162010291,0.1024,0.21995366692014168,0.1024,273824.0,161664.0,334.0,74.0,33.0,92.0,39.0,1.0
119,34.0,5.05,0.21218086063659222,0.19392942359868295,0.15075395223997853,0.2804141705486706,0.1024,174304.0,104096.0,219.0,159.0,134.0,197.0,64.0,1.0
120,52.2,3.6,0.1024,0.11719085064164587,0.1024,0.20103362629533755,0.1024,267360.0,74592.0,74.0,48.0,36.0,75.0,0.0,1.0
121,46.0,4.4,0.10905452905988393,0.1494040796805694,0.12148389468675426,0.19568158463697313,0.1024,236256.0,90336.0,112.0,93.0,80.0,93.0,0.0,1.0
122,41.8,6.35,0.18707627191715065,0.21995366692014168,0.14155491608144893,0.2609455869930851,0.1024,214272.0,131040.0,192.0,180.0,123.0,172.0,90.0,1.0
123,53.8,11.2,3.0133526284383048,0.1024,0.2933129289209221,0.2028499741235547,0.1534903960289547,275616.0,229600.0,3122.0,468.0,252.0,197.0,158.0,1.0
124,62.0,5.4,0.1024,0.1024,0.1353298830914057,0.15911319872255733,0.1024,317696.0,110624.0,69.0,24.0,79.0,62.0,29.0,1.0
125,78.4,6.85,3.417727686955048,0.1024,0.28808371352153866,0.1353298830914057,0.1024,401536.0,140384.0,3515.0,437.0,222.0,124.0,1.0,1.0
126,35.6,4.75,1.7724794415708727,0.1024,0.1024,0.28808371352153866,0.1024,182944.0,97920.0,1830.0,210.0,41.0,162.0,0.0,1.0
127,44.2,2.85,0.1024,0.1024,0.1024,0.21798417016794858,0.15911319872255733,226336.0,59328.0,51.0,0.0,43.0,97.0,164.0,1.0
128,40.8,3.1,0.1024,0.12039611043028081,0.1024,0.2586090426959236,0.12480657252785048,209888.0,63648.0,67.0,45.0,15.0,117.0,129.0,1.0
129,58.4,6.3,1.6643223934073492,0.1024,0.1788493872806009,0.25629342015227985,0.1353298830914057,299392.0,129312.0,1709.0,236.0,143.0,188.0,140.0,1.0
130,51.0,4.95,0.1024,0.1024,0.17724794415708725,0.18374105541112293,0.1024,261760.0,101664.0,38.0,31.0,128.0,112.0,57.0,1.0
131,47.4,7.85,1.0711029283125797,0.14155491608144893,0.17566084058551082,0.25629342015227985,0.1024,243328.0,161696.0,1108.0,227.0,148.0,185.0,37.0,2.0
132,51.0,4.85,0.1024,0.11103405652348632,0.19392942359868295,0.20653205040438585,0.1024,261248.0,99712.0,101.0,64.0,152.0,145.0,29.0,2.0
133,53.8,5.95,0.11003984162010291,0.1024,0.15911319872255733,0.1820958115879857,0.20653205040438585,275680.0,122528.0,112.0,5.0,105.0,100.0,212.0,2.0
134,111.8,13.95,13.7786353469435,0.1024,0.761015857954761,0.1024,0.1024,572480.0,286336.0,14196.0,1984.0,689.0,255.0,0.0,2.0
135,52.8,8.45,0.540699797143687,0.11203725420310383,0.18046529951454654,0.10905452905988393,0.1024,270752.0,173792.0,558.0,124.0,119.0,37.0,0.0,2.0
136,48.4,3.85,0.1024,0.1788493872806009,0.21603230857279196,0.21798417016794858,0.1024,248384.0,79360.0,65.0,133.0,185.0,168.0,0.0,2.0
137,49.4,6.2,0.1024,0.1024,0.15211602095849217,0.1820958115879857,0.1788493872806009,253632.0,127200.0,0.0,31.0,102.0,95.0,185.0,2.0
138,53.4,4.3,0.1024,0.18046529951454654,0.1024,0.2539985320257652,0.1024,274304.0,88320.0,56.0,107.0,33.0,117.0,33.0,2.0
139,39.0,11.3,2.3215000996264874,0.11003984162010291,0.20103362629533755,0.17566084058551082,0.1024,200160.0,231424.0,2388.0,369.0,153.0,117.0,35.0,2.0
140,81.0,8.95,0.1024,0.1024,0.16793596208624098,0.20468273273584747,0.1024,414752.0,183296.0,59.0,33.0,123.0,128.0,0.0,2.0
